generator,mode,rho,n,feature_idx,label,feat_type,is_true_pair,S_dir,lynn_metric
interaction,uniform,0.5,8,106,x_2*x_16*,PRODUCT,True,0.46155333518981934,0.24536756364364956
interaction,uniform,0.5,9,16,x_16,LINEAR,False,0.45831575989723206,0.25066094827476154
interaction,uniform,0.5,10,2,x_2,LINEAR,False,0.4483337104320526,0.2669814419933044
interaction,uniform,0.5,11,257,x_8*x_14*,PRODUCT,True,0.4459935426712036,0.270807579438776
interaction,uniform,0.5,12,14,x_14,LINEAR,False,0.44104382395744324,0.27890029160758195
interaction,uniform,0.5,13,441,x_18*x_23*,PRODUCT,True,0.4383971691131592,0.2832275306091483
interaction,uniform,0.5,14,18,x_18,LINEAR,False,0.4319671094417572,0.2937405769372638
interaction,uniform,0.5,15,263,x_8*x_20*,PRODUCT,True,0.42980730533599854,0.29727182264630153
interaction,uniform,0.5,16,20,x_20,LINEAR,False,0.4242304265499115,0.30638993165937606
interaction,uniform,0.5,17,319,x_11*x_13*,PRODUCT,True,0.42240118980407715,0.30938070493937814
interaction,uniform,0.5,18,300,x_10*x_14,PRODUCT,False,0.4207321107387543,0.3121096229332606
interaction,uniform,0.5,19,10,x_10,LINEAR,False,0.41782844066619873,0.31685707778661243
interaction,uniform,0.5,20,471,x_20*x_30*,PRODUCT,True,0.41532382369041443,0.3209520871094207
interaction,uniform,0.5,21,13,x_13,LINEAR,False,0.4134630262851715,0.3239944615706659
interaction,uniform,0.5,22,11,x_11,LINEAR,False,0.40666499733924866,0.33510913186932806
interaction,uniform,0.5,23,167,x_4*x_22*,PRODUCT,True,0.40543630719184875,0.33711802091587373
interaction,uniform,0.5,24,22,x_22,LINEAR,False,0.40405428409576416,0.3393776069194504
interaction,uniform,0.5,25,4,x_4,LINEAR,False,0.40012577176094055,0.345800662736531
interaction,uniform,0.5,26,304,x_10*x_18*,PRODUCT,True,0.39868485927581787,0.34815653196403257
interaction,uniform,0.5,27,442,x_18*x_24*,PRODUCT,True,0.3967803716659546,0.35127033922197504
